_id,en.name,en.address,en.location,map,website,latitude,longitude
-11,Kushiro City Zoo,"Japan, 〒085-0201 Hokkaido, Kushiro, 阿寒町下仁々志別11","Kushiro, Kushiro Subprefecture, Hokkaido",https://goo.gl/maps/8JVH1ftPJHm,http://www.city.kushiro.lg.jp/zoo/,43.0812619,144.2343677
-12,"Yokohama Zoo ""Zoorasia""","Japan, 〒241-0001 Kanagawa Prefecture, 横浜市旭区上白根町１１７５−１","Yokohama, Kanagawa Prefecture",https://goo.gl/maps/j23gm6VW4Zo,http://www.hama-midorinokyokai.or.jp/zoo/zoorasia/,35.4948688,139.5243211
-13,Nishiyama Zoo,"3-8-9 Sakuramachi, Sabae, Fukui Prefecture 916-0027, Japan","Sabae, Fukui Prefecture",https://goo.gl/maps/vVxLDci5HeE2,https://www.city.sabae.fukui.jp/nishiyama_zoo/,35.9506249,136.1787345
-14,Himeji Central Park,"１４３４ Toyotomicho Kodani, Himeji, Hyōgo Prefecture 679-2121, Japan","Himeji, Hyōgo Prefecture",https://goo.gl/maps/QLH8LsUtgm42,http://www.central-park.co.jp/,34.8710334,134.7621733
-15,Ikeda Zoo,"Japan, 〒700-0015 Okayama Prefecture, Okayama, Kita, 京山２丁目５番１号","Okayama, Okayama Prefecture, Chugoku region",https://goo.gl/maps/2bjmzYUBiqk,http://www.urban.ne.jp/home/ikedazoo/,34.6746507,133.9040114
-16,Shizuoka Municipal Nihondaira Zoo,"1767−６ Ikeda, Suruga Ward, Shizuoka, Shizuoka Prefecture 422-8005, Japan","Shizuoka, Shizuoka Prefecture",https://goo.gl/maps/wFRiaNci3Qu,http://www.nhdzoo.jp/,34.9796519,138.4373118
-17,Tama Zoological Park,"7 Chome-1-1 Hodokubo, Hino, Tokyo 191-0041, Japan","Hino, Tokyo",https://goo.gl/maps/Emr9wdQYAm22,http://www.tokyo-zoo.net/zoo/tama/,35.6495222,139.4000674
-18,Tobu Zoo,"Japan, 〒345-0831 Saitama Prefecture, Minamisaitama District, Miyashiro, 須賀１１０","Miyashiro, Minamisaitama, Saitama Prefecture",https://goo.gl/maps/74vbDPHR5DK2,http://www.tobuzoo.com/park/,36.0196909,139.7174791
-19,Kujukushima Zoological and Botanical Garden Morikirara,"2172 Funakoshicho, Sasebo, Nagasaki Prefecture 857-1231, Japan","Sasebo, Nagasaki Prefecture",https://goo.gl/maps/1pRgFW9fo9v,https://www.morikirara.jp/,33.1512305,129.6873023
-20,Hirakawa Zoo,"5669-1 Hirakawacho, Kagoshima, Kagoshima Prefecture 891-0133, Japan","Kagoshima, Kagoshima Prefecture",https://goo.gl/maps/RHkCy9Syv8G2,http://hirakawazoo.jp/,31.4630427,130.4997487
-21,Omuta City Zoo,"163 Showamachi, Omuta, Fukuoka Prefecture 836-0871, Japan","Omuta, Fukuoka Prefecture",https://goo.gl/maps/LwmybsWdhww,http://www.omutazoo.org/,33.019018,130.4423493
